ID No,Title,Format,No. of Sections,Subtitled Sections,Epigraph Type,Epigraph Lang,Epigraph Authors,Pages,Year Written,Season Written,Month Written,Filename,JoinSlot
0000,Epigraph,poem,1,NA,"poetry, dedication",English,Benjamin,45,,,,BenjaminW-OWS-000-Epigraph-APR292023.txt,
0001,Filling Station,single paragraph,1,NA,NA,NA,NA,45,NA,,,BenjaminW-OWS-001-FillingStation-APR292023.txt,
0002,Breakfast Room,single paragraph,1,NA,NA,NA,NA,45-46,NA,,,BenjaminW-OWS-002-BreakfastRoom-APR292023.txt,
0003,No. 113,sub-titled sections,3,Cellar; Vestibule; Dining Hall,NA,NA,NA,46-47,NA,,,BenjaminW-OWS-003-No113-APR292023.txt,
0004,For Men,single sentence,1,NA,NA,NA,NA,47,NA,,,BenjaminW-OWS-004-ForMen-APR292023.txt,
0005,Standard Clock,single paragraph,1,NA,NA,NA,NA,47,NA,,,BenjaminW-OWS-005-StandardClock-APR292023.txt,
0006,Come Back! All is Forgiven!,single paragraph,1,NA,NA,NA,NA,48,NA,,,BenjaminW-OWS-006-ComeBackAllIsForgiven-APR292023.txt,
0007,Manorially Furnished Ten Room Apartment,single paragraph,1,NA,NA,NA,NA,48-49,NA,,,BenjaminW-OWS-007-ManoriallyFurnishedTenRoomApartment-APR292023.txt,
0008,Chinese Curios,unlabled sections,4,NA,NA,NA,NA,49-50,NA,,,BenjaminW-OWS-008-ChineseCurios-APR292023.txt,
0009,Gloves,single paragraph,1,NA,NA,NA,NA,50-51,NA,,,BenjaminW-OWS-009-Gloves-APR292023.txt,
0010,Mexican Embassy,paragraph with epigraph,2,NA,poetry,French,Charles Baudelaire,51,NA,,,BenjaminW-OWS-010-MexicanEmbassy-APR292023.txt,
0011,To The Public: Please Protect and Preserve These New Plantings,unlabled sections,3,NA,NA,NA,NA,51-52,NA,,,BenjaminW-OWS-011-ToThePublicPleaseProtectAndPreserveThesePlantings-APR292023.txt,
0012,Construction Site,single paragraph,1,NA,NA,NA,NA,52-53,NA,,,BenjaminW-OWS-012-ConstructionSite-APR292023.txt,
0013,Ministry of the Interior,single paragraph,1,NA,NA,NA,NA,53,NA,,,BenjaminW-OWS-013-MinistryOfTheInterior-APR292023.txt,
0014,Flag . . .,single paragraph fragment,1,NA,NA,NA,NA,53,NA,,,BenjaminW-OWS-014-Flag-APR292023.txt,
0015,. . . At Half-Mast,single paragraph fragment,1,NA,NA,NA,NA,54,NA,,,BenjaminW-OWS-015-AtHalfMast-APR292023.txt,
0016,Imperial Panorama,subtitled numbered list,14,A Tour of German Inflation,NA,NA,NA,54-60,1923,Summer,,BenjaminW-OWS-016-ImperialPanorama-APR292023.txt,
0017,Underground Works,single paragraph,1,NA,NA,NA,NA,60,NA,,,BenjaminW-OWS-017-UndergroundWorks-APR292023.txt,
0018,Coiffeur for Fastidious Ladies,single paragraph,1,NA,NA,NA,NA,60-61,NA,,,BenjaminW-OWS-018-Coiffeur for Fastidious Ladies-APR292023.txt,
0019,Caution: Steps,single sentence,1,NA,NA,NA,NA,61,NA,,,BenjaminW-OWS-019-CautionSteps-APR292023.txt,
0020,Attested Auditor of Books,single paragraph,1,NA,NA,NA,NA,61-63,NA,,,BenjaminW-OWS-020-AttestedAuditorOfBooks-APR292023.txt,
0021,Teaching Aid,subtitled numbered list with multiple paragraphs,2.7,"Principles of the Weighty Tome, or How to Write Fat Books",NA,NA,NA,63-64,NA,,,BenjaminW-OWS-021-TeachingAid-APR292023.txt,
0022,"Germans, Drink German Beer!",single paragraph,1,NA,NA,NA,NA,64,NA,,,BenjaminW-OWS-022-GermansDrinkGermanBeer-APR292023.txt,
0023,Post No Bills,multiple titled numbered lists,3.13.13.13,The Writer's Technique in Thirteen Theses; Thirteen Theses Against Snobs; The Critic's Technique in Thirteen Theses,NA,NA,NA,64-67,NA,,,BenjaminW-OWS-023-PostNoBills-APR292023.txt,
0024,No. 13,numbered list with multiple epigraphs,2.2.13,NA,"prose, poetry","French, French","Marcel Proust, Stephan Mallarme",67-68,NA,,,BenjaminW-OWS-024-No13-APR292023.txt,
0025,Ordnance,single paragraph,1,NA,NA,NA,NA,68-69,NA,,,BenjaminW-OWS-025-Ordnance-APR292023.txt,
0026,First Aid,single paragraph,1,NA,NA,NA,NA,69,NA,,,BenjaminW-OWS-026-FirstAid-APR292023.txt,
0027,Interior Decoration,single paragraph,1,NA,NA,NA,NA,69,NA,,,BenjaminW-OWS-027-InteriorDecoration-APR292023.txt,
0028,Stationers,sub-titled sections,4,Street-plan; List of Wishes; Pocket Diary; Paper Weight,NA,NA,NA,69-70,NA,,,BenjaminW-OWS-028-Stationers-APR292023.txt,
0029,Fancy Goods,unlabled sections,7,NA,NA,NA,NA,70-71,NA,,,BenjaminW-OWS-029-FancyGoods-APR292023.txt,
0030,Enlargements,sub-titled sections,6,Child reading; Belated child; Pilfering child; Child on the roundabout; Untidy child; Child hiding,NA,NA,NA,71-74,NA,,,BenjaminW-OWS-030-Enlargements-APR292023.txt,
0031,Antiques,sub-titled sections,7,Medallion; Prayer-wheel; Antique spoon; Old map; Fan; Relief; Torso,NA,NA,NA,75-76,NA,,,BenjaminW-OWS-031-Antiques-APR292023.txt,
0032,Watchmaker and Jeweller,unlabled sections,3,NA,NA,NA,NA,76-77,NA,,,BenjaminW-OWS-032-WatchmakerAndJeweller-APR292023.txt,
0033,Arc Lamp,single sentence,1,NA,NA,NA,NA,77,NA,,,BenjaminW-OWS-033-ArcLamp-APR292023.txt,
0034,Loggia,sub-titled sections,6,Geranium; Carthusian pink; Asphodel; Cactus bloom; Forget-me-not; Foliage plant,NA,NA,NA,77,NA,,,BenjaminW-OWS-034-Loggia-APR292023.txt,
0035,Lost-Property Office,sub-titled sections,2,"Articles lost, Articles found",NA,NA,NA,78,NA,,,BenjaminW-OWS-035-LostPropertyOffice-APR292023.txt,
0036,Halt for Not More than Three Cabs,multiple paragraphs,1,NA,NA,NA,NA,78-79,NA,,,BenjaminW-OWS-036-HaltForNotMoreThanThreeCabs-APR292023.txt,
0037,Monument to a Warrior,subtitled single paragraph,1,Karl Kraus,NA,NA,NA,79-80,NA,,,BenjaminW-OWS-037-MonumentToAWarrior-APR292023.txt,
0038,Fire Alarm,single paragraph,1,NA,NA,NA,NA,80,NA,,,BenjaminW-OWS-038-FireAlarm-APR292023.txt,
0039,Travel Souvenirs,subtitled sections,12,"Atrani; Navy; Versailles Façade; Heidelberg Castle; Seville, Alcazar; Marseilles, Cathedral; Freiburg Minster; Moscow, St. Basil's; Boscotrecase; Naples, Museo Nazionale; Florence, Baptistry; Sky",NA,NA,NA,80-83,NA,,,BenjaminW-OWS-039-TravelSouvenirs-APR292023.txt,
0040,Optician,unlabled sections,5,NA,NA,NA,NA,83,NA,,,BenjaminW-OWS-040-Optician-APR292023.txt,
0041,Toys,subtitled sections,4,Cut-out models; Targets; Stereoscope; Not for Sale,NA,NA,NA,83-88,NA,,,BenjaminW-OWS-041-Toys-APR292023.txt,
0042,Polyclinic,single paragraph,1,NA,NA,NA,NA,88-89,NA,,,BenjaminW-OWS-042-Polyclinic-APR292023.txt,
0043,This Space for Rent,single paragraph,1,NA,NA,NA,NA,89-90,NA,,,BenjaminW-OWS-043-ThisSpaceForRent-APR292023.txt,
0044,Office Equipment,single paragraph,1,NA,NA,NA,NA,90,NA,,,BenjaminW-OWS-044-OfficeEquipment-APR292023.txt,
0045,Mixed Cargo: Carriage and Packing,single paragraph,1,NA,NA,NA,NA,90-91,NA,,,BenjaminW-OWS-045-MixedCargoCarriageAndPacking-APR292023.txt,
0046,Closed fo Alterations,single paragraph,1,NA,NA,NA,NA,91,NA,,,BenjaminW-OWS-046-ClosedForAlterations-APR292023.txt,
0047,"""Augeas"" Self-Service Restaurant",single paragraph,1,NA,NA,NA,NA,91,NA,,,BenjaminW-OWS-047-AugeasSelfServiceRestaurant-APR292023.txt,
0048,Stamp Shop,unlabeled sections,11,NA,NA,NA,NA,91-94,NA,,,BenjaminW-OWS-048-StampShop-APR292023.txt,
0049,Si Parla Italiano,single paragraph,1,NA,NA,NA,NA,94-95,NA,,,BenjaminW-OWS-049-SiParlaItaliano-APR292023.txt,
0050,Technical Aid,single paragraph,1,NA,NA,NA,NA,95,NA,,,BenjaminW-OWS-050-TechnicalAid-APR292023.txt,
0051,Hardware,unlabeled sections,4,NA,NA,NA,NA,95-96,NA,,,BenjaminW-OWS-051-Hardware-APR292023.txt,
0052,Tax Advice,unlabeled sections,3,NA,NA,NA,NA,96,NA,,,BenjaminW-OWS-052-TaxAdvice-APR292023.txt,
0053,Legal Protection for the Needy,dialogue,2,"Publisher, Author",NA,NA,NA,97,NA,,,BenjaminW-OWS-053-LegalProtectionForTheNeedy-APR292023.txt,
0054,Doctor's Night Bell,single paragraph,1,NA,NA,NA,NA,97-98,NA,,,BenjaminW-OWS-054-DoctorsNightBell-APR292023.txt,
0055,Madame Ariane -- Second Courtyard on the Left,single paragraph,1,NA,NA,NA,NA,98-99,NA,,,BenjaminW-OWS-055-MadameArianeSecondCourtyardOnTheLeft-APR292023.txt,
0056,Costume Wardrobe,unlabeled sections ,4,NA,NA,NA,NA,99-100,NA,,,BenjaminW-OWS-056-CostumeWardrobe-APR292023.txt,
0057,Betting Office,single paragraph,1,NA,NA,NA,NA,100-101,NA,,,BenjaminW-OWS-057-BettingOffice-APR292023.txt,
0058,Stand-Up Beer Hall,single paragraph,1,NA,NA,NA,NA,101-102,NA,,,BenjaminW-OWS-058-StandUpBeerHall-APR292023.txt,
0059,No Vagrants!,multiple paragraphs,1,NA,NA,NA,NA,102-103,NA,,,BenjaminW-OWS-059-NoVagrants-APR292023.txt,
0060,To the Planetarium,single paragraph,1,NA,NA,NA,NA,103-104,NA,,,BenjaminW-OWS-060-ToThePlanetarium-APR292023.txt,
0061,Complete Cycle,Full Cycle,1,NA,,,,45-104,1925-1926,,,BenjaminW-OWS-061-Complete-NumberedTitledContent-Apr292023.txt,
